url,autor
https://www.ciperchile.cl/2021/01/23/hospital-de-la-florida-compro-800-mil-mascarillas-con-sobreprecio-a-familiar-de-subdirector/,Paulette Desormeaux
https://www.ciperchile.cl/2021/01/23/hospital-de-la-florida-compro-800-mil-mascarillas-con-sobreprecio-a-familiar-de-subdirector/,Juan José Lyon
https://www.ciperchile.cl/2008/09/26/las-dudas-que-contaminan-el-ultimo-paraiso-inmobiliario-de-vina-del-mar/,Pedro Ramírez
https://www.ciperchile.cl/2008/09/26/las-dudas-que-contaminan-el-ultimo-paraiso-inmobiliario-de-vina-del-mar/,Sebastián Minay
https://www.ciperchile.cl/2010/02/25/negocio-de-la-basura-cuestionado-contrato-amarra-a-kdm-con-22-comunas-de-santiago-hasta-2027/,Bastián Fernández
https://www.ciperchile.cl/2010/02/25/negocio-de-la-basura-cuestionado-contrato-amarra-a-kdm-con-22-comunas-de-santiago-hasta-2027/,Felipe Avendaño
https://www.ciperchile.cl/2019/06/25/el-desconocido-rol-estelar-de-j-a-kast-en-la-guerra-santa-contra-la-oea/,Pedro Ramírez
https://www.ciperchile.cl/2020/09/20/sin-controles-de-los-bancos-globales-el-dinero-sucio-destruye-suenos-y-vidas/,Will Fitzgibon
https://www.ciperchile.cl/2014/07/30/las-conexiones-con-el-lobby-de-los-principales-negociadores-del-gobierno-en-el-congreso/,Juan Pablo Figueroa
https://www.ciperchile.cl/2014/07/30/las-conexiones-con-el-lobby-de-los-principales-negociadores-del-gobierno-en-el-congreso/,Francisca Skoknic
https://www.ciperchile.cl/2011/02/09/demolicion-de-torres-en-concepcion-constructora-con-mas-edificios-danados-gana-licitacion/,Tabatha Guerra
https://www.ciperchile.cl/2012/08/06/la-desafortunada-contradiccion-de-las-olimpiadas/,Xaviera Ringeling
https://www.ciperchile.cl/2012/08/06/la-desafortunada-contradiccion-de-las-olimpiadas/,desde Londres
https://www.ciperchile.cl/2014/05/05/u-andres-bello-u-las-americas-y-u-vina-del-mar-como-laureate-tomo-el-control-de-un-lucrativo-negocio/,Juan Pablo Figueroa
https://www.ciperchile.cl/2012/05/28/ley-sep-ranking-de-la-20-municipalidades-mas-cuestionadas-por-contraloria/,Tabatha Guerra
https://www.ciperchile.cl/2012/05/28/ley-sep-ranking-de-la-20-municipalidades-mas-cuestionadas-por-contraloria/,Noemí Arcos
https://www.ciperchile.cl/2017/08/16/como-empresas-de-luksic-y-juan-cuneo-usaron-zombis-para-no-pagar-impuestos/,Juan Andrés Guzmán
https://www.ciperchile.cl/2012/10/05/las-redes-que-el-poli-extendio-en-chile-para-traficar-inmigrantes-haitianos/,Gustavo Villarrubia
https://www.ciperchile.cl/2012/10/05/las-redes-que-el-poli-extendio-en-chile-para-traficar-inmigrantes-haitianos/,Juan Pablo Figueroa
https://www.ciperchile.cl/2017/07/18/la-nebulosa-que-rodea-los-16-200-millones-que-recaudo-carabineros-por-control-de-armas/,Pedro Ramírez
https://www.ciperchile.cl/2017/07/18/la-nebulosa-que-rodea-los-16-200-millones-que-recaudo-carabineros-por-control-de-armas/,Catalina Albert
https://www.ciperchile.cl/2013/08/01/las-duras-criticas-al-ministro-carreno-y-la-encuesta-que-el-sename-desdeno-en-2011/,Juan Andrés Guzmán
https://www.ciperchile.cl/2013/08/01/las-duras-criticas-al-ministro-carreno-y-la-encuesta-que-el-sename-desdeno-en-2011/,Equipo CIPER
https://www.ciperchile.cl/2010/10/07/la-vida-en-europa-de-los-presos-condenados-a-extranamiento-por-delitos-terroristas/,Muriel Alarcón
https://www.ciperchile.cl/2010/10/07/la-vida-en-europa-de-los-presos-condenados-a-extranamiento-por-delitos-terroristas/,Constanza Carter
https://www.ciperchile.cl/2012/07/03/la-polar-i-la-red-de-sociedades-y-millonarias-ganancias-que-devela-como-los-gerentes-participaron-del-fraude/,Paulette Desormeaux
https://www.ciperchile.cl/2012/01/31/sistema-de-acreditacion-universitaria-bajo-sospecha-por-polemico-contrato/,Gregorio Riquelme
https://www.ciperchile.cl/2012/01/31/sistema-de-acreditacion-universitaria-bajo-sospecha-por-polemico-contrato/,Juan Andrés Guzmán
https://www.ciperchile.cl/2013/06/10/%e2%80%9cpuede-que-el-sistema-se-haya-desvirtuado-un-poco-que-se-nos-haya-ido-de-las-manos%e2%80%9d/,Pilar Rodríguez
