url,titulo,entradilla,fecha,n_comentarios,categoria,n_words
https://www.ciperchile.cl/2021/01/23/hospital-de-la-florida-compro-800-mil-mascarillas-con-sobreprecio-a-familiar-de-subdirector/,Hospital de La Florida compró 800 mil mascarillas con sobreprecio a familiar de subdirector,"Al día siguiente de constituirse legalmente, la empresa recibió una orden de compra del hospital por más de $416 millones. En un mes y medio de existencia, le vendió mascarillas con sobreprecio por $1.248 millones. El hospital fue el único organismo público que la eligió como proveedora.",2021-01-23,14,Investigación,1587.0
https://www.ciperchile.cl/2008/09/26/las-dudas-que-contaminan-el-ultimo-paraiso-inmobiliario-de-vina-del-mar/,Las dudas que contaminan el último paraíso inmobiliario de Viña del Mar,"Empresas Copec, propiedad del grupo Angelini, desarrollará finalmente el megaproyecto inmobiliario de 17,5 hectáreas en el terreno que históricamente ocuparon las compañías petroleras (Copec, Esso, Shell y Sonacol) en Las Salinas, Viña del Mar. Para llevar adelante la iniciativa, según informó La Segunda del 10 de febrero de 2014, se creó la “Inmobiliaria Las Salinas” con un capital de US$94 millones. Lo que no informó el vespertino es si Empresas Copec complementó los planes de remediación de esos suelos altamente contaminados para poder instalar ahí inmuebles residenciales, comerciales y de entretención, pues el programa de descontaminación que se aprobó años atrás sólo permitía el uso de ese terreno para parques y jardines. En 2008 CIPER publicó una extensa investigación que desnudó los problemas de contaminación de ese paño, considerado el último filete inmobiliario en el borde costero viñamarino. El reportaje abordó las irregularidades asociadas al proceso de aprobación del plan de remediación del suelo, impactado durante décadas por compuestos altamente tóxicos o cancerígenos, tales como plomo, benceno, naftaleno, xileno, clorofenoles, hidrocarburos poliaromáticos, aceites minerales, DDT, DDE, DDD y drines. En el contexto de este nuevo negocio del grupo Angelini, CIPER reproduce esa investigación, publicada el 26 de septiembre de 2008, y la entrevista concedida entonces por el ex jefe de la Unidad de Control de Contaminación de la Conama de Valparaíso.",2008-09-26,48,Investigación,
https://www.ciperchile.cl/2010/02/25/negocio-de-la-basura-cuestionado-contrato-amarra-a-kdm-con-22-comunas-de-santiago-hasta-2027/,Negocio de la basura: Cuestionado contrato amarra a KDM con 22 comunas de Santiago hasta 2027,"Los 22 municipios de la Región Metropolitana que renovaron un contrato con la empresa KDM para el manejo de su basura deberán desembolsar más de US$ 240 millones durante los próximos 16 años, alargando hasta 2027 el efecto de una licitación que se realizó en 1995. El acuerdo fue impugnado por la Fiscalía Nacional Económica ante el Tribunal de Defensa de la Libre Competencia por considerar que establece barreras de entradas a un mercado donde KDM tiene 58% de participación.  La Contraloría también expresó sus reparos porque el contrato se renovó automáticamente y con dos años de anticipación. El tema ha generado polémica en varios municipios y tiene reminiscencias de la “guerra de la basura” que vivió Santiago la década pasada.",2010-02-25,12,Investigación,
https://www.ciperchile.cl/2019/06/25/el-desconocido-rol-estelar-de-j-a-kast-en-la-guerra-santa-contra-la-oea/,El desconocido rol estelar de J.A. Kast en la “guerra santa” contra la OEA,"Un potente lobby para debilitar a la OEA es liderado por organizaciones cristianas conservadoras de Estados Unidos. La cruzada quiere ahogar las resoluciones de la OEA que obligarían a los estados miembros a ampliar derechos relacionados con aborto, matrimonio homosexual e identidad de género. La ofensiva evangélica que posibilitó el triunfo de Bolsonaro en Brasil y el ascenso del conservadurismo en Colombia y Centroamérica, tiene su carta para Chile: José Antonio Kast, quien desde 2017 viene ganando terreno en el tramado internacional contra la “ideología de género”.",2019-06-25,85,Investigación,
https://www.ciperchile.cl/2020/09/20/sin-controles-de-los-bancos-globales-el-dinero-sucio-destruye-suenos-y-vidas/,"Sin controles de los bancos globales, el dinero sucio destruye sueños y vidas","Desde Ucrania hasta Estados Unidos, y de Túnez a Turkmenistán, esta detallada investigación del Consorcio Internacional de Periodistas de Investigación (ICIJ), del que CIPER es miembro, revela el durísimo costo humano que deja el lavado de billones de dólares alrededor del mundo. En el centro de estas historias hay personas comunes afectadas de maneras reales: familias que perdieron sus ahorros en artimañas financieras predatorias, atletas olímpicos despojados de sus victorias por funcionarios corruptos, padres que lloran a hijos e hijas caídos en batalla y un hermano consumido por el mortífero fentanilo.",2020-09-20,0,Investigación,3771.0
https://www.ciperchile.cl/2014/07/30/las-conexiones-con-el-lobby-de-los-principales-negociadores-del-gobierno-en-el-congreso/,Las conexiones con el lobby de los principales negociadores del gobierno en el Congreso,"Julio Valladares, Exequiel Silva y Pablo Berazaluce son tres asesores que este gobierno contrató para negociar en el Congreso sus proyectos clave. Todos participaron en la creación de Conexxa junto a Alexis Yáñez, ex operador político de la Concertación, quien mientras trabajaba para el gobierno hacía lobby para empresas, como KDM en la basura, casinos y Educación Superior, donde fue socio de Teodoro Ribera en la Universidad Autónoma e Inca-Cea. La delgada línea que separa el rol de asesor de autoridades públicas y defensor de intereses privados está bajo la lupa.",2014-07-30,9,Investigación,
https://www.ciperchile.cl/2011/02/09/demolicion-de-torres-en-concepcion-constructora-con-mas-edificios-danados-gana-licitacion/,Demolición de torres en Concepción: constructora con más edificios dañados gana licitación,"La empresa con mayor cantidad de edificios dañados por el terremoto se adjudicó licitación para estabilizar y mitigar el riesgo de la demolición en cinco de las torres colapsadas en Concepción. JCE S.A. recibirá $726 millones del MOP para realizar los trabajos de la primera fase de la demolición, que incluyen obras en la torre Centro Mayor, edificada por la misma empresa. La licitación fue por trato directo y no pasó por el sistema ChileCompra. En la trayectoria de la empresa figuran dos juicios por incumplimiento de contrato en licitaciones públicas. Copropietarios de la torre Centro Mayor demandaron a sus dueños, pidiendo una indemnización por la pérdida de sus viviendas y cuestionan la adjudicación del millonario contrato a una empresa que, a su juicio, debió financiar ese trabajo con su patrimonio.",2011-02-09,52,Investigación,
https://www.ciperchile.cl/2012/08/06/la-desafortunada-contradiccion-de-las-olimpiadas/,La desafortunada contradicción de las Olimpiadas,"Esta investigación -difundida originalmente por la web de VerDeseo y realizada por Xaviera Ringeling- aborda el contraste entre los valores que intenta transmitir la máxima competencia deportiva mundial y la historia de dos de sus principales auspiciadores: McDonald’s y Dow Chemicals. El artículo incluye referencias a la responsabilidad de Dow en la fabricación de armas, así como a las acusaciones de maltrato animal que pesan sobre McDonald’s y la negativa de esta compañía a dejar de dirigir a los niños su publicidad de alimentos poco saludables.",2012-08-06,7,Investigación,
https://www.ciperchile.cl/2014/05/05/u-andres-bello-u-las-americas-y-u-vina-del-mar-como-laureate-tomo-el-control-de-un-lucrativo-negocio/,"U. Andrés Bello, U. Las Américas y U. Viña del Mar: cómo Laureate tomó el control de un lucrativo negocio","En 2011 las sociedades a través de las cuales el Grupo Laureate controlaba la propiedad de las universidades Andrés Bello, Las Américas, Viña del Mar y el Instituto AIEP, iniciaron un complejo proceso de reestructuración. Objetivo: concentrar el control en una sociedad, la que hoy no aparece en los estados financieros de ninguna de las tres universidades –todas investigadas por lucro– ni en la red de entidades relacionadas informadas al Mineduc. Esa estructura, cuestionada por la CNA al rechazar la acreditación de la UDLA y rebajar la de la Andrés Bello, está bajo la lupa del Mineduc, la fiscalía y el SII.",2014-05-05,6,Investigación,
https://www.ciperchile.cl/2012/05/28/ley-sep-ranking-de-la-20-municipalidades-mas-cuestionadas-por-contraloria/,Ley SEP: Ranking de las 20 municipalidades más cuestionadas por Contraloría,"Cada año se gastan US$ 300 millones en la Ley SEP, destinada a mejorar la educación de los niños más pobres. La Contraloría detectó que parte de esos fondos se están mal usando por desorden, corrupción o endeudamiento municipal. En Coquimbo el director de un colegio guardaba $6 millones en una bolsa que manejaba en su auto. En Angol se imputó un gasto de medio millón de pesos en cloro de piscina. En muchas comunas los fondos SEP se han gastado en guardias, camionetas y aseo. En octubre pasado el Congreso aprobó una reforma que busca dar un “perdonazo” a los alcaldes que ocuparon los recursos en gastos no permitidos por la ley original.",2012-05-28,39,Investigación,
