url,tema
https://www.ciperchile.cl/2021/01/23/hospital-de-la-florida-compro-800-mil-mascarillas-con-sobreprecio-a-familiar-de-subdirector/,Chile
https://www.ciperchile.cl/2021/01/23/hospital-de-la-florida-compro-800-mil-mascarillas-con-sobreprecio-a-familiar-de-subdirector/,Coronavirus
https://www.ciperchile.cl/2021/01/23/hospital-de-la-florida-compro-800-mil-mascarillas-con-sobreprecio-a-familiar-de-subdirector/,COVID-19
https://www.ciperchile.cl/2021/01/23/hospital-de-la-florida-compro-800-mil-mascarillas-con-sobreprecio-a-familiar-de-subdirector/,Cuarentena
https://www.ciperchile.cl/2021/01/23/hospital-de-la-florida-compro-800-mil-mascarillas-con-sobreprecio-a-familiar-de-subdirector/,Hospital de La Florida
https://www.ciperchile.cl/2021/01/23/hospital-de-la-florida-compro-800-mil-mascarillas-con-sobreprecio-a-familiar-de-subdirector/,La Florida
https://www.ciperchile.cl/2021/01/23/hospital-de-la-florida-compro-800-mil-mascarillas-con-sobreprecio-a-familiar-de-subdirector/,Pandemia
https://www.ciperchile.cl/2021/01/23/hospital-de-la-florida-compro-800-mil-mascarillas-con-sobreprecio-a-familiar-de-subdirector/,Santiago
https://www.ciperchile.cl/2021/01/23/hospital-de-la-florida-compro-800-mil-mascarillas-con-sobreprecio-a-familiar-de-subdirector/,Virus
https://www.ciperchile.cl/2008/09/26/las-dudas-que-contaminan-el-ultimo-paraiso-inmobiliario-de-vina-del-mar/,Contaminación
https://www.ciperchile.cl/2008/09/26/las-dudas-que-contaminan-el-ultimo-paraiso-inmobiliario-de-vina-del-mar/,Municipalidades
https://www.ciperchile.cl/2008/09/26/las-dudas-que-contaminan-el-ultimo-paraiso-inmobiliario-de-vina-del-mar/,Transparencia
https://www.ciperchile.cl/2010/02/25/negocio-de-la-basura-cuestionado-contrato-amarra-a-kdm-con-22-comunas-de-santiago-hasta-2027/,Medio Ambiente
https://www.ciperchile.cl/2010/02/25/negocio-de-la-basura-cuestionado-contrato-amarra-a-kdm-con-22-comunas-de-santiago-hasta-2027/,Municipalidades
https://www.ciperchile.cl/2019/06/25/el-desconocido-rol-estelar-de-j-a-kast-en-la-guerra-santa-contra-la-oea/,CIDH
https://www.ciperchile.cl/2019/06/25/el-desconocido-rol-estelar-de-j-a-kast-en-la-guerra-santa-contra-la-oea/,Derechos Humanos
https://www.ciperchile.cl/2019/06/25/el-desconocido-rol-estelar-de-j-a-kast-en-la-guerra-santa-contra-la-oea/,Evangélicos
https://www.ciperchile.cl/2019/06/25/el-desconocido-rol-estelar-de-j-a-kast-en-la-guerra-santa-contra-la-oea/,Iglesia Católica
https://www.ciperchile.cl/2019/06/25/el-desconocido-rol-estelar-de-j-a-kast-en-la-guerra-santa-contra-la-oea/,José Antonio Kast
https://www.ciperchile.cl/2019/06/25/el-desconocido-rol-estelar-de-j-a-kast-en-la-guerra-santa-contra-la-oea/,LGTBI
https://www.ciperchile.cl/2019/06/25/el-desconocido-rol-estelar-de-j-a-kast-en-la-guerra-santa-contra-la-oea/,OEA
https://www.ciperchile.cl/2020/09/20/sin-controles-de-los-bancos-globales-el-dinero-sucio-destruye-suenos-y-vidas/,Bank of New York Mellon
https://www.ciperchile.cl/2020/09/20/sin-controles-de-los-bancos-globales-el-dinero-sucio-destruye-suenos-y-vidas/,Consorcio Internacional de Periodistas de Investigación
https://www.ciperchile.cl/2020/09/20/sin-controles-de-los-bancos-globales-el-dinero-sucio-destruye-suenos-y-vidas/,Deutsche Bank
